customer_id,gender,customer_name,city,state_code,state_name,zip_code,country,birthday,continent,age,age_group
205510,Female,Stephanie Lemaire,Boyle,AB,Alberta,T0A 0M0,Canada,1939-05-02,North America,85,65 - ~
218298,Male,Gary Addington,Gibbons,AB,Alberta,T0A 1N0,Canada,1951-11-08,North America,73,65 - ~
398196,Female,Barbara List,Gibbons,AB,Alberta,T0A 1N0,Canada,1974-10-13,North America,50,50 - 64
219411,Male,Jeffery Hale,Grand Centre,AB,Alberta,T0A 1T0,Canada,1997-11-15,North America,27,18 - 34
265864,Male,Alan Depasquale,Grand Centre,AB,Alberta,T0A 1T0,Canada,1951-12-24,North America,73,65 - ~
331199,Female,Marsha Ramos,Grassland,AB,Alberta,T0A 1V0,Canada,1941-02-26,North America,83,65 - ~
356049,Female,Lakisha Neil,Grassland,AB,Alberta,T0A 1V0,Canada,1948-10-12,North America,76,65 - ~
254402,Female,Donna Jones,Radway,AB,Alberta,T0A 2V0,Canada,1951-12-03,North America,73,65 - ~
342356,Male,Paul Herman,St Paul,AB,Alberta,T0A 3A0,Canada,1982-04-27,North America,42,35 - 49
379536,Male,Coleman Smith,Thorhild,AB,Alberta,T0A 3J0,Canada,1978-04-01,North America,46,35 - 49
226367,Male,Sam Martin,Galahad,AB,Alberta,T0B 1R0,Canada,1991-09-15,North America,33,18 - 34
234620,Male,Daniel Braunstein,Galahad,AB,Alberta,T0B 1R0,Canada,1941-11-06,North America,83,65 - ~
213636,Male,Peter Yoder,Hardisty,AB,Alberta,T0B 1V0,Canada,1983-03-10,North America,41,35 - 49
245649,Male,Daniel Horton,Hughenden,AB,Alberta,T0B 2E0,Canada,1964-04-27,North America,60,50 - 64
374192,Female,Sheryl Rickard,Hughenden,AB,Alberta,T0B 2E0,Canada,1945-08-24,North America,79,65 - ~
374334,Male,John Baker,Innisfree,AB,Alberta,T0B 2G0,Canada,1986-09-05,North America,38,35 - 49
352933,Female,Eleanor Lane,Killam,AB,Alberta,T0B 2L0,Canada,1947-05-10,North America,77,65 - ~
366500,Female,Victoria Ortiz,Kitscoty,AB,Alberta,T0B 2P0,Canada,1943-09-12,North America,81,65 - ~
256828,Male,Thomas Hires,Provost,AB,Alberta,T0B 3S0,Canada,1960-11-25,North America,64,50 - 64
298606,Female,Rosario Gomez,Provost,AB,Alberta,T0B 3S0,Canada,1943-03-04,North America,81,65 - ~
352596,Female,Michelle Campbell,Provost,AB,Alberta,T0B 3S0,Canada,1945-12-25,North America,79,65 - ~
368190,Female,Irma Trujillo,Rosalind,AB,Alberta,T0B 3Y0,Canada,1975-01-14,North America,49,35 - 49
319579,Female,Cheryl McBride,Vegreville,AB,Alberta,T0B 4L0,Canada,1966-11-15,North America,58,50 - 64
286075,Male,Ernest Sommer,Vermilion,AB,Alberta,T0B 4M0,Canada,1967-05-15,North America,57,50 - 64
387148,Female,Marianna Carroll,Castor,AB,Alberta,T0C 0X0,Canada,1957-12-21,North America,67,65 - ~
281008,Male,Curt Mills,Ma-Me-O-Beach,AB,Alberta,T0C 1X0,Canada,1988-01-12,North America,36,35 - 49
243332,Male,Cory Potter,Mulhurst Bay,AB,Alberta,T0C 2C0,Canada,1962-06-06,North America,62,50 - 64
345242,Female,Susan Santiago,Stettler,AB,Alberta,T0C 2L2,Canada,1995-02-25,North America,29,18 - 34
270917,Male,Paul Sadler,Drayton Valley,AB,Alberta,T0E 0M0,Canada,1993-07-08,North America,31,18 - 34
221924,Female,Aimee Pemberton,Evansburg,AB,Alberta,T0E 0T0,Canada,1955-01-05,North America,69,65 - ~
376933,Female,Stephanie Nolan,Grande Cache,AB,Alberta,T0E 0Y0,Canada,1951-09-21,North America,73,65 - ~
377521,Male,Steve Lowe,Jasper,AB,Alberta,T0E 1E0,Canada,1987-04-01,North America,37,35 - 49
312359,Female,Tara Garcia,Barrhead,AB,Alberta,T0G 0E0,Canada,1987-01-26,North America,37,35 - 49
